system,size,mix,trial,throughput
sqlite-WAL,100 KB,0.9,1,8972.58
sqlite-WAL,100 KB,0.9,2,9088.43
sqlite-WAL,100 KB,0.9,3,9059.67
sqlite-WAL,100 KB,0.5,1,1946.9
sqlite-WAL,100 KB,0.5,2,1943.8
sqlite-WAL,100 KB,0.5,3,1952
sqlite-WAL,100 KB,0.1,1,1089.05
sqlite-WAL,100 KB,0.1,2,1091.35
sqlite-WAL,100 KB,0.1,3,1091.5
sqlite-WAL,1 MB,0.9,1,1383.35
sqlite-WAL,1 MB,0.9,2,1360.13
sqlite-WAL,1 MB,0.9,3,1348.53
sqlite-WAL,1 MB,0.5,1,294.483
sqlite-WAL,1 MB,0.5,2,287.8
sqlite-WAL,1 MB,0.5,3,314.617
sqlite-WAL,1 MB,0.1,1,175.533
sqlite-WAL,1 MB,0.1,2,164.017
sqlite-WAL,1 MB,0.1,3,177.967
sqlite-WAL,10 MB,0.9,1,83.9833
sqlite-WAL,10 MB,0.9,2,88.6833
sqlite-WAL,10 MB,0.9,3,82.0833
sqlite-WAL,10 MB,0.5,1,19.95
sqlite-WAL,10 MB,0.5,2,17.9
sqlite-WAL,10 MB,0.5,3,15.0833
sqlite-WAL,10 MB,0.1,1,10.7
sqlite-WAL,10 MB,0.1,2,10.8333
sqlite-WAL,10 MB,0.1,3,10.7167
sqlite-DELETE,100 KB,0.9,1,4085.82
sqlite-DELETE,100 KB,0.9,2,4110.52
sqlite-DELETE,100 KB,0.9,3,4088.7
sqlite-DELETE,100 KB,0.5,1,867.567
sqlite-DELETE,100 KB,0.5,2,863.667
sqlite-DELETE,100 KB,0.5,3,861.35
sqlite-DELETE,100 KB,0.1,1,478.017
sqlite-DELETE,100 KB,0.1,2,481.3
sqlite-DELETE,100 KB,0.1,3,484.133
sqlite-DELETE,1 MB,0.9,1,811.767
sqlite-DELETE,1 MB,0.9,2,853.35
sqlite-DELETE,1 MB,0.9,3,837.867
sqlite-DELETE,1 MB,0.5,1,184.9
sqlite-DELETE,1 MB,0.5,2,182.75
sqlite-DELETE,1 MB,0.5,3,169.35
sqlite-DELETE,1 MB,0.1,1,104.817
sqlite-DELETE,1 MB,0.1,2,105.1
sqlite-DELETE,1 MB,0.1,3,103.95
sqlite-DELETE,10 MB,0.9,1,77.5
sqlite-DELETE,10 MB,0.9,2,83.45
sqlite-DELETE,10 MB,0.9,3,81.1333
sqlite-DELETE,10 MB,0.5,1,17.7833
sqlite-DELETE,10 MB,0.5,2,17.7833
sqlite-DELETE,10 MB,0.5,3,17.7667
sqlite-DELETE,10 MB,0.1,1,9.46667
sqlite-DELETE,10 MB,0.1,2,10.2
sqlite-DELETE,10 MB,0.1,3,10.0833
duckdb,100 KB,0.9,1,6358.07
duckdb,100 KB,0.9,2,6250.65
duckdb,100 KB,0.9,3,6328.38
duckdb,100 KB,0.5,1,1274.73
duckdb,100 KB,0.5,2,1279.08
duckdb,100 KB,0.5,3,1280.72
duckdb,100 KB,0.1,1,714.85
duckdb,100 KB,0.1,2,719.067
duckdb,100 KB,0.1,3,719.717
duckdb,1 MB,0.9,1,1148.08
duckdb,1 MB,0.9,2,1171.1
duckdb,1 MB,0.9,3,1161.38
duckdb,1 MB,0.5,1,236.05
duckdb,1 MB,0.5,2,239.117
duckdb,1 MB,0.5,3,233.117
duckdb,1 MB,0.1,1,128.633
duckdb,1 MB,0.1,2,129.183
duckdb,1 MB,0.1,3,128.6
duckdb,10 MB,0.9,1,130.383
duckdb,10 MB,0.9,2,130.883
duckdb,10 MB,0.9,3,124.417
duckdb,10 MB,0.5,1,0
duckdb,10 MB,0.5,2,0
duckdb,10 MB,0.5,3,0
duckdb,10 MB,0.1,1,0
duckdb,10 MB,0.1,2,0
duckdb,10 MB,0.1,3,0
filesystem,100 KB,0.9,1,8349.05
filesystem,100 KB,0.9,2,8177.7
filesystem,100 KB,0.9,3,8199.88
filesystem,100 KB,0.5,1,1703.12
filesystem,100 KB,0.5,2,1690.32
filesystem,100 KB,0.5,3,1686.52
filesystem,100 KB,0.1,1,932.633
filesystem,100 KB,0.1,2,934.9
filesystem,100 KB,0.1,3,930.167
filesystem,1 MB,0.9,1,2312.18
filesystem,1 MB,0.9,2,1929.58
filesystem,1 MB,0.9,3,1973.27
filesystem,1 MB,0.5,1,484.017
filesystem,1 MB,0.5,2,490.783
filesystem,1 MB,0.5,3,501.667
filesystem,1 MB,0.1,1,285.85
filesystem,1 MB,0.1,2,290.85
filesystem,1 MB,0.1,3,295.25
filesystem,10 MB,0.9,1,169.5
filesystem,10 MB,0.9,2,169.117
filesystem,10 MB,0.9,3,172.467
filesystem,10 MB,0.5,1,48.8
filesystem,10 MB,0.5,2,49.15
filesystem,10 MB,0.5,3,51.15
filesystem,10 MB,0.1,1,30.05
filesystem,10 MB,0.1,2,30.1667
filesystem,10 MB,0.1,3,29.9833
