system,size,mix,trial,throughput
sqlite,100 KB,0.9,1,19934.2
sqlite,100 KB,0.9,2,19982.5
sqlite,100 KB,0.9,3,19878.7
sqlite,100 KB,0.5,1,16070.3
sqlite,100 KB,0.5,2,16049.3
sqlite,100 KB,0.5,3,16197.6
sqlite,100 KB,0.1,1,13547
sqlite,100 KB,0.1,2,13416.3
sqlite,100 KB,0.1,3,13466.3
sqlite,1 MB,0.9,1,1091.32
sqlite,1 MB,0.9,2,1146.12
sqlite,1 MB,0.9,3,1140.13
sqlite,1 MB,0.5,1,1035.27
sqlite,1 MB,0.5,2,1044.78
sqlite,1 MB,0.5,3,1050.23
sqlite,1 MB,0.1,1,886.467
sqlite,1 MB,0.1,2,910.667
sqlite,1 MB,0.1,3,877.817
sqlite,10 MB,0.9,1,122.367
sqlite,10 MB,0.9,2,124.567
sqlite,10 MB,0.9,3,120.233
sqlite,10 MB,0.5,1,114.383
sqlite,10 MB,0.5,2,114.9
sqlite,10 MB,0.5,3,114.05
sqlite,10 MB,0.1,1,109.6
sqlite,10 MB,0.1,2,109.3
sqlite,10 MB,0.1,3,109.367
duckdb,100 KB,0.9,1,490.15
duckdb,100 KB,0.9,2,664.75
duckdb,100 KB,0.9,3,583.75
duckdb,100 KB,0.5,1,142.683
duckdb,100 KB,0.5,2,133.117
duckdb,100 KB,0.5,3,132.75
duckdb,100 KB,0.1,1,71.8667
duckdb,100 KB,0.1,2,68.4667
duckdb,100 KB,0.1,3,78.3
duckdb,1 MB,0.9,1,187.583
duckdb,1 MB,0.9,2,172.383
duckdb,1 MB,0.9,3,161.667
duckdb,1 MB,0.5,1,34.7333
duckdb,1 MB,0.5,2,34.8
duckdb,1 MB,0.5,3,30.7333
duckdb,1 MB,0.1,1,19.2167
duckdb,1 MB,0.1,2,19.0667
duckdb,1 MB,0.1,3,20.3833
duckdb,10 MB,0.9,1,21.4
duckdb,10 MB,0.9,2,24.4167
duckdb,10 MB,0.9,3,21.4333
duckdb,10 MB,0.5,1,4.45
duckdb,10 MB,0.5,2,4.4
duckdb,10 MB,0.5,3,4.68333
duckdb,10 MB,0.1,1,2.53333
duckdb,10 MB,0.1,2,2.56667
duckdb,10 MB,0.1,3,2.51667
