size,mix,trial,throughput
100 KB,0.9,1,87528.7
100 KB,0.9,2,86171.2
100 KB,0.9,3,87927.4
100 KB,0.5,1,70009.9
100 KB,0.5,2,70420.3
100 KB,0.5,3,70851.4
100 KB,0.1,1,59029.8
100 KB,0.1,2,59230.4
100 KB,0.1,3,59531.1
1 MB,0.9,1,8952.85
1 MB,0.9,2,9035.62
1 MB,0.9,3,9006.62
1 MB,0.5,1,8309.33
1 MB,0.5,2,8081.58
1 MB,0.5,3,8369.45
1 MB,0.1,1,7834.2
1 MB,0.1,2,7406.98
1 MB,0.1,3,7701.03
10 MB,0.9,1,619.767
10 MB,0.9,2,606.417
10 MB,0.9,3,620.45
10 MB,0.5,1,566.667
10 MB,0.5,2,580.883
10 MB,0.5,3,566.7
10 MB,0.1,1,531.033
10 MB,0.1,2,529.917
10 MB,0.1,3,519.467
