system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
sqlite,1,False,,100 MB,1,0.819997,0.758303,0.713243,4.33072,4.25387,4.11619,2.10842,1.47415,1.54022,1.53452,2.15628,1.59248,1.52615
sqlite,1,False,,100 MB,2,0.820772,0.759586,0.71437,4.34459,4.27028,4.13104,2.10643,1.4801,1.5377,1.52967,2.15228,1.58917,1.52228
sqlite,1,False,,100 MB,3,0.821685,0.758955,0.714516,4.32306,4.24971,4.12695,2.10341,1.47472,1.5441,1.54448,2.1877,1.59329,1.52795
sqlite,1,False,,200 MB,1,0.816172,0.752213,0.709741,4.3981,4.35114,4.18965,2.11354,1.48148,1.54731,1.53971,2.18228,1.58986,1.5306
sqlite,1,False,,200 MB,2,0.813742,0.751198,0.709051,4.35433,4.28673,4.14497,2.09988,1.47905,1.53733,1.52741,2.15887,1.5766,1.51466
sqlite,1,False,,200 MB,3,0.821638,0.762069,0.71741,4.37765,4.31221,4.16906,2.0946,1.46844,1.53543,1.53354,2.15306,1.5888,1.51363
sqlite,1,False,,500 MB,1,0.710996,0.643915,0.594563,4.18966,4.12195,3.97355,1.94238,1.33968,1.39224,1.3921,1.96856,1.41434,1.3341
sqlite,1,False,,500 MB,2,0.707474,0.641513,0.593705,4.12441,4.05609,3.91347,1.91549,1.31203,1.37502,1.36583,1.92706,1.40365,1.32983
sqlite,1,False,,500 MB,3,0.713186,0.64545,0.594612,4.1562,4.07976,3.9385,1.941,1.31438,1.38888,1.38034,1.96016,1.40698,1.33396
sqlite,1,False,,1 GB,1,0.711262,0.645581,0.600798,4.12631,4.04827,3.9046,1.90551,1.31011,1.37502,1.36407,1.94095,1.40886,1.32837
sqlite,1,False,,1 GB,2,0.710325,0.649037,0.600125,4.13972,4.0498,3.91741,1.91768,1.30388,1.37792,1.36308,1.92878,1.398,1.32582
sqlite,1,False,,1 GB,3,0.7105,0.648145,0.600646,4.13195,4.05819,3.91036,1.90887,1.30236,1.37337,1.36383,1.9353,1.39478,1.31994
sqlite,1,False,,2 GB,1,0.709105,0.644765,0.596645,4.12593,4.07647,3.93063,1.9214,1.29925,1.36801,1.35495,1.93913,1.40319,1.32493
sqlite,1,False,,2 GB,2,0.706963,0.640346,0.592177,4.20276,4.07378,3.91944,1.90693,1.30231,1.37627,1.36557,1.9376,1.3937,1.32766
sqlite,1,False,,2 GB,3,0.704028,0.640575,0.592098,4.14506,4.07336,3.93898,1.91384,1.29478,1.37462,1.36577,1.93049,1.39872,1.33074
sqlite,1,False,,5 GB,1,0.710884,0.649254,0.596795,4.14625,4.07852,3.94349,1.91343,1.30415,1.37988,1.36016,1.93753,1.39408,1.34828
sqlite,1,False,,5 GB,2,0.70186,0.636664,0.589229,4.07054,3.98744,3.93275,2.09605,1.57351,1.40569,1.35295,1.92696,1.38692,1.30868
sqlite,1,False,,5 GB,3,0.712144,0.647808,0.596452,4.12119,4.04682,3.9091,1.91695,1.30007,1.37287,1.36231,1.92897,1.39102,1.32098
sqlite,1,True,,100 MB,1,0.834779,0.687324,0.668431,0.758049,0.674645,0.626413,1.18344,0.630982,0.595938,0.591013,0.977967,0.945904,0.818866
sqlite,1,True,,100 MB,2,0.834188,0.689738,0.66782,0.75788,0.675061,0.625882,1.19889,0.645708,0.606451,0.603701,1.0046,0.975201,0.845745
sqlite,1,True,,100 MB,3,0.840314,0.690251,0.668413,0.759811,0.674754,0.625543,1.18277,0.629448,0.592358,0.589663,0.975726,0.945761,0.817101
sqlite,1,True,,200 MB,1,0.827267,0.681647,0.66633,0.750189,0.661821,0.617562,1.17517,0.621438,0.578079,0.57925,0.967127,0.935139,0.805818
sqlite,1,True,,200 MB,2,0.828056,0.681083,0.665202,0.751104,0.663007,0.618332,1.17625,0.620561,0.578795,0.581462,0.96001,0.936181,0.811052
sqlite,1,True,,200 MB,3,0.829287,0.680064,0.66393,0.759819,0.685852,0.617865,1.17537,0.620423,0.577526,0.579192,0.971618,0.937486,0.804504
sqlite,1,True,,500 MB,1,0.728392,0.583318,0.558547,0.626404,0.552679,0.509961,1.02798,0.50141,0.478327,0.464047,0.817286,0.799587,0.67302
sqlite,1,True,,500 MB,2,0.722532,0.575741,0.55335,0.627502,0.549899,0.512669,1.03222,0.501251,0.472456,0.465776,0.812696,0.794656,0.670767
sqlite,1,True,,500 MB,3,0.724226,0.576673,0.553723,0.624919,0.554463,0.512084,1.02614,0.501633,0.472866,0.466896,0.813936,0.814546,0.672519
