system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
sqlite,1,false,,100 MB,1,2.51149,2.18075,2.07161,15.1815,14.6202,14.2482,6.9261,4.85393,4.84702,4.96579,7.13399,4.88043,4.70447
sqlite,1,false,,100 MB,2,2.4884,2.24194,2.11647,15.1985,14.8233,14.2662,6.79763,4.86431,4.97057,4.90436,7.12731,4.92728,4.65938
sqlite,1,false,,100 MB,3,2.45875,2.18387,2.07692,15.0876,14.8355,14.1179,6.89341,4.84862,4.79906,5.00886,7.11887,4.84835,4.73065
sqlite,1,false,,200 MB,1,2.46782,2.20987,2.10213,14.8742,14.8942,14.2747,6.77608,4.82235,4.8891,4.81664,7.04455,4.82718,4.5441
sqlite,1,false,,200 MB,2,2.45071,2.16819,2.06678,14.8263,14.7218,14.228,6.82655,4.83281,4.85034,5.01792,7.08009,4.74942,4.6005
sqlite,1,false,,200 MB,3,2.44595,2.2194,2.10775,14.9404,14.8338,14.2649,6.85294,4.80602,4.97885,4.89595,7.06476,4.83706,4.59189
sqlite,1,false,,500 MB,1,1.77977,1.45901,1.30389,15.1034,14.5644,14.103,5.72691,3.89436,3.9873,3.89453,6.03252,4.00834,3.79386
sqlite,1,false,,500 MB,2,1.80796,1.48858,1.34048,15.2474,14.4209,13.9637,5.72086,3.79257,3.89762,3.85749,5.90428,3.99668,3.81294
sqlite,1,false,,500 MB,3,1.76842,1.4623,1.32486,15.06,14.4291,14.0298,5.78213,3.74454,3.90733,3.8928,6.02799,3.99827,3.77797
sqlite,1,false,,1 GB,1,1.79629,1.46845,1.36325,13.6283,13.2204,12.7158,5.76181,3.88129,3.84733,3.82688,5.94409,3.95451,3.80897
sqlite,1,false,,1 GB,2,1.75057,1.44162,1.30107,13.8074,13.2084,12.7703,5.73062,3.94048,3.97438,3.94603,5.89031,3.98837,3.82657
sqlite,1,false,,1 GB,3,1.80694,1.48157,1.34178,13.8744,13.3238,12.8145,5.89764,3.71868,3.88979,4.04134,6.01155,3.91646,3.9681
sqlite,1,false,,2 GB,1,1.7445,1.47881,1.32277,13.782,13.2796,13.0308,5.84017,3.83793,3.90084,3.91515,6.06751,4.06069,3.83152
sqlite,1,false,,2 GB,2,1.75943,1.44939,1.31062,13.5858,13.0976,12.8132,5.66367,3.77224,3.91918,3.87474,5.80403,3.95096,3.8062
sqlite,1,false,,2 GB,3,1.77082,1.46786,1.31255,13.6557,12.9746,12.5826,5.70043,3.73441,3.7758,3.83816,5.91486,3.8961,3.71377
sqlite,1,false,,5 GB,1,1.74307,1.44104,1.29881,13.6849,13.2289,12.7967,5.62003,3.78996,3.88691,3.80024,5.77837,3.96617,3.80306
