system,records,trial,throughput
sqlite_WAL,10 K,1,13504.5
sqlite_WAL,10 K,2,13421.4
sqlite_WAL,10 K,3,13414.2
sqlite_WAL,100 K,1,12862.5
sqlite_WAL,100 K,2,12752.3
sqlite_WAL,100 K,3,12809.7
sqlite_WAL,1 M,1,12230.8
sqlite_WAL,1 M,2,12234.7
sqlite_WAL,1 M,3,12253.2
sqlite_DELETE,10 K,1,3793.38
sqlite_DELETE,10 K,2,3903.27
sqlite_DELETE,10 K,3,3830.17
sqlite_DELETE,100 K,1,3845.32
sqlite_DELETE,100 K,2,3846.68
sqlite_DELETE,100 K,3,3894.58
sqlite_DELETE,1 M,1,3109.77
sqlite_DELETE,1 M,2,3120.93
sqlite_DELETE,1 M,3,3481.45
duckdb,10 K,1,1117.48
duckdb,10 K,2,1113.67
duckdb,10 K,3,1120.35
duckdb,100 K,1,212
duckdb,100 K,2,208.1
duckdb,100 K,3,211.55
duckdb,1 M,1,23.85
duckdb,1 M,2,21.3833
duckdb,1 M,3,23.4
