records,memory_limit,trial,throughput
10000,100 MB,1,1190.83
10000,100 MB,2,1190.6
10000,100 MB,3,1178.53
10000,200 MB,1,1129.97
10000,200 MB,2,1139.55
10000,200 MB,3,1163.23
10000,500 MB,1,1126.42
10000,500 MB,2,1128.8
10000,500 MB,3,1125.38
10000,1 GB,1,1117.48
10000,1 GB,2,1113.67
10000,1 GB,3,1120.35
10000,2 GB,1,1089.48
10000,2 GB,2,1110.62
10000,2 GB,3,1093.4
10000,5 GB,1,1062.13
10000,5 GB,2,1093.47
10000,5 GB,3,1057.95
100000,100 MB,1,213.533
100000,100 MB,2,211.983
100000,100 MB,3,212.617
100000,200 MB,1,207.683
100000,200 MB,2,211.2
100000,200 MB,3,206.467
100000,500 MB,1,207.667
100000,500 MB,2,215.3
100000,500 MB,3,211.067
100000,1 GB,1,212
100000,1 GB,2,208.1
100000,1 GB,3,211.55
100000,2 GB,1,208.267
100000,2 GB,2,202.633
100000,2 GB,3,207.733
100000,5 GB,1,804.633
100000,5 GB,2,800.833
100000,5 GB,3,800.683
1000000,100 MB,1,20.6833
1000000,100 MB,2,19.9833
1000000,100 MB,3,19.3833
1000000,200 MB,1,21.9833
1000000,200 MB,2,22.3333
1000000,200 MB,3,22.2
1000000,500 MB,1,24.3333
1000000,500 MB,2,24.3833
1000000,500 MB,3,23.9833
1000000,1 GB,1,23.85
1000000,1 GB,2,21.3833
1000000,1 GB,3,23.4
1000000,2 GB,1,22.0833
1000000,2 GB,2,24.2667
1000000,2 GB,3,23.1667
1000000,5 GB,1,23.65
1000000,5 GB,2,22.6667
1000000,5 GB,3,22.9
