records,journal_mode,cache_size,trial,throughput
10000,DELETE,100 MB,1,3237.07
10000,DELETE,100 MB,2,3631.83
10000,DELETE,100 MB,3,3852.87
10000,DELETE,200 MB,1,3225.07
10000,DELETE,200 MB,2,3864.97
10000,DELETE,200 MB,3,3786.43
10000,DELETE,500 MB,1,3834.35
10000,DELETE,500 MB,2,3839.7
10000,DELETE,500 MB,3,3849.92
10000,DELETE,1 GB,1,3793.38
10000,DELETE,1 GB,2,3903.27
10000,DELETE,1 GB,3,3830.17
10000,DELETE,2 GB,1,3859.48
10000,DELETE,2 GB,2,3821.73
10000,DELETE,2 GB,3,3852.22
10000,DELETE,5 GB,1,3843.47
10000,DELETE,5 GB,2,3819.47
10000,DELETE,5 GB,3,3843.23
10000,TRUNCATE,100 MB,1,3215.52
10000,TRUNCATE,100 MB,2,3232.18
10000,TRUNCATE,100 MB,3,3218.23
10000,TRUNCATE,200 MB,1,3204.27
10000,TRUNCATE,200 MB,2,3280.77
10000,TRUNCATE,200 MB,3,3240
10000,TRUNCATE,500 MB,1,3221.92
10000,TRUNCATE,500 MB,2,3252.47
10000,TRUNCATE,500 MB,3,3212.78
10000,TRUNCATE,1 GB,1,3163.1
10000,TRUNCATE,1 GB,2,3251.3
10000,TRUNCATE,1 GB,3,3221.55
10000,TRUNCATE,2 GB,1,3232.13
10000,TRUNCATE,2 GB,2,3240.88
10000,TRUNCATE,2 GB,3,3211.87
10000,TRUNCATE,5 GB,1,3226.6
10000,TRUNCATE,5 GB,2,3250.65
10000,TRUNCATE,5 GB,3,3239.17
10000,WAL,100 MB,1,67488.5
10000,WAL,100 MB,2,67698.1
10000,WAL,100 MB,3,67623.1
10000,WAL,200 MB,1,67027.4
10000,WAL,200 MB,2,68427.4
10000,WAL,200 MB,3,67922.1
10000,WAL,500 MB,1,67864.9
10000,WAL,500 MB,2,68509.6
10000,WAL,500 MB,3,68206.4
10000,WAL,1 GB,1,67791.3
10000,WAL,1 GB,2,67499.3
10000,WAL,1 GB,3,67923.4
10000,WAL,2 GB,1,67637.7
10000,WAL,2 GB,2,68333.6
10000,WAL,2 GB,3,69211.8
10000,WAL,5 GB,1,68106.5
10000,WAL,5 GB,2,69001.1
10000,WAL,5 GB,3,69415.7
100000,DELETE,100 MB,1,3804.92
100000,DELETE,100 MB,2,3856.73
100000,DELETE,100 MB,3,3918.15
100000,DELETE,200 MB,1,3919.05
100000,DELETE,200 MB,2,3203.8
100000,DELETE,200 MB,3,3880.78
100000,DELETE,500 MB,1,3876.87
100000,DELETE,500 MB,2,3866.93
100000,DELETE,500 MB,3,3862.78
100000,DELETE,1 GB,1,3845.32
100000,DELETE,1 GB,2,3846.68
100000,DELETE,1 GB,3,3894.58
100000,DELETE,2 GB,1,3838.08
100000,DELETE,2 GB,2,3823.93
100000,DELETE,2 GB,3,3835.23
100000,DELETE,5 GB,1,3891.25
100000,DELETE,5 GB,2,3839.25
100000,DELETE,5 GB,3,3821.42
100000,TRUNCATE,100 MB,1,3187.5
100000,TRUNCATE,100 MB,2,3224.9
100000,TRUNCATE,100 MB,3,3209.98
100000,TRUNCATE,200 MB,1,3167.6
100000,TRUNCATE,200 MB,2,3224
100000,TRUNCATE,200 MB,3,3232.23
100000,TRUNCATE,500 MB,1,3207.25
100000,TRUNCATE,500 MB,2,3258.98
100000,TRUNCATE,500 MB,3,3197.52
100000,TRUNCATE,1 GB,1,3275.98
100000,TRUNCATE,1 GB,2,3184.32
100000,TRUNCATE,1 GB,3,3190.45
100000,TRUNCATE,2 GB,1,3165.88
100000,TRUNCATE,2 GB,2,3219.92
100000,TRUNCATE,2 GB,3,3182.13
100000,TRUNCATE,5 GB,1,3182.5
100000,TRUNCATE,5 GB,2,3202.82
100000,TRUNCATE,5 GB,3,3129.35
100000,WAL,100 MB,1,58906.8
100000,WAL,100 MB,2,59019.3
100000,WAL,100 MB,3,59359.7
100000,WAL,200 MB,1,58259.6
100000,WAL,200 MB,2,58236.2
100000,WAL,200 MB,3,58128.3
100000,WAL,500 MB,1,60350.8
100000,WAL,500 MB,2,58913.5
100000,WAL,500 MB,3,56831.1
100000,WAL,1 GB,1,57382.6
100000,WAL,1 GB,2,56442
100000,WAL,1 GB,3,56934.6
100000,WAL,2 GB,1,56526
100000,WAL,2 GB,2,57563.2
100000,WAL,2 GB,3,56943
100000,WAL,5 GB,1,56674.8
100000,WAL,5 GB,2,56874.4
100000,WAL,5 GB,3,58074.7
1000000,DELETE,100 MB,1,3150.53
1000000,DELETE,100 MB,2,3173.03
1000000,DELETE,100 MB,3,3162.75
1000000,DELETE,200 MB,1,3105.45
1000000,DELETE,200 MB,2,3092.07
1000000,DELETE,200 MB,3,3113.4
1000000,DELETE,500 MB,1,3125.02
1000000,DELETE,500 MB,2,3146.2
1000000,DELETE,500 MB,3,3144.02
1000000,DELETE,1 GB,1,3109.77
1000000,DELETE,1 GB,2,3120.93
1000000,DELETE,1 GB,3,3481.45
1000000,DELETE,2 GB,1,3759.62
1000000,DELETE,2 GB,2,3656.2
1000000,DELETE,2 GB,3,3095.25
1000000,DELETE,5 GB,1,3132.72
1000000,DELETE,5 GB,2,3696.52
1000000,DELETE,5 GB,3,3714.03
1000000,TRUNCATE,100 MB,1,3196.73
1000000,TRUNCATE,100 MB,2,3007.42
1000000,TRUNCATE,100 MB,3,2573.85
1000000,TRUNCATE,200 MB,1,2552.78
1000000,TRUNCATE,200 MB,2,2560.9
1000000,TRUNCATE,200 MB,3,2538.38
1000000,TRUNCATE,500 MB,1,2563.22
1000000,TRUNCATE,500 MB,2,2558.63
1000000,TRUNCATE,500 MB,3,2580.95
1000000,TRUNCATE,1 GB,1,3135.02
1000000,TRUNCATE,1 GB,2,3053.63
1000000,TRUNCATE,1 GB,3,3121.27
1000000,TRUNCATE,2 GB,1,3061.35
1000000,TRUNCATE,2 GB,2,2548.85
1000000,TRUNCATE,2 GB,3,2537.03
1000000,TRUNCATE,5 GB,1,2540.07
1000000,TRUNCATE,5 GB,2,2562.03
1000000,TRUNCATE,5 GB,3,2572.87
1000000,WAL,100 MB,1,45423.9
1000000,WAL,100 MB,2,44796.5
1000000,WAL,100 MB,3,45455.2
1000000,WAL,200 MB,1,46483.4
1000000,WAL,200 MB,2,44677.6
1000000,WAL,200 MB,3,46674.5
1000000,WAL,500 MB,1,47399.8
1000000,WAL,500 MB,2,47715.3
1000000,WAL,500 MB,3,47324.2
1000000,WAL,1 GB,1,46717.6
1000000,WAL,1 GB,2,47681.6
1000000,WAL,1 GB,3,47621.9
1000000,WAL,2 GB,1,47336.5
1000000,WAL,2 GB,2,47331.6
1000000,WAL,2 GB,3,46877.9
1000000,WAL,5 GB,1,46331.1
1000000,WAL,5 GB,2,49314.7
1000000,WAL,5 GB,3,46901.2
