system,records,trial,throughput
sqlite_WAL,10 K,1,670.7
sqlite_WAL,10 K,2,686.5
sqlite_WAL,10 K,3,671.433
sqlite_WAL,100 K,1,675.3
sqlite_WAL,100 K,2,642.8
sqlite_WAL,100 K,3,574.683
sqlite_WAL,1 M,1,572.283
sqlite_WAL,1 M,2,638.867
sqlite_WAL,1 M,3,523.033
sqlite_DELETE,10 K,1,207.783
sqlite_DELETE,10 K,2,173.3
sqlite_DELETE,10 K,3,215.333
sqlite_DELETE,100 K,1,196.483
sqlite_DELETE,100 K,2,180.833
sqlite_DELETE,100 K,3,155.667
sqlite_DELETE,1 M,1,206.283
sqlite_DELETE,1 M,2,168.15
sqlite_DELETE,1 M,3,172.8
duckdb,10 K,1,254.133
duckdb,10 K,2,294.333
duckdb,10 K,3,295.433
duckdb,100 K,1,81.8333
duckdb,100 K,2,81.05
duckdb,100 K,3,81.6
duckdb,1 M,1,10.95
duckdb,1 M,2,10.5833
duckdb,1 M,3,10.55
